id,race_id,horse_number,Draw,Horse_ID,Country,Name,Age,weight_uk,weight,gears,Horse_rate,jockey_ID,jockey,trainer_ID,trainer,fav,odds,odds_decimal,Timeform_comments
298418,183320,2,7.0,112428,IRE,Bobby Dassler,6,9-9,61.2,h,45.0,5641,Elizabeth Gale,326,Mrs A M Thorpe,,,,"Below form when fourth, beaten 7 1/4l, in an 8f handicap here last time and looked to need a longer trip. Effective at 1m on good to firm and good to soft. On a long losing run and no longer the force of old."
298419,183320,3,4.0,117090,GB,Fifty Sent,6,9-9,61.2,p,47.0,5651,Taylor Fisher,3420,T Faulkner,,,,Made too much use of when beaten 3l in a classified race over 8f here last time. Acts on any ground and is well treated on best form.
298420,183320,4,11.0,123897,GB,Olympic Quest,5,9-9,61.2,p,40.0,22,L Morris,3687,Joe Ponting,,,,Awkward under pressure when beaten 7l in an 8f handicap at Bath last time. Better form shown on the all-weather and appears regressive.
298421,183320,5,6.0,145842,IRE,Rebel Cove,4,9-9,61.2,p,44.0,6570,Taryn Langley,2378,S Hodgson,,,,"Probably did too much too soon when well beaten in an 8f handicap at Bath most recently. Usually consistent, trainer in form, and effective from 8-10f on good or firm ground. Looks to have reached a level."
298422,183320,6,5.0,130669,IRE,Scarfo,4,9-9,61.2,,40.0,6944,Charlie Tucker,528,B J Llewellyn,2nd,14/1,15.0,Raced away from the main action early and was beaten 9 1/4l in an 8f handicap at Chepstow last time. Effective at 7-8f but currently in poor form.
298423,183320,7,3.0,145126,IRE,Stoneacre,5,9-9,61.2,p,45.0,2501,Joey Haynes,2243,S Dixon,,22/1,23.0,"Needed the run when beaten 8l in an 8f handicap at Bath last time. Usually consistent, returns from a short break, and wears cheekpieces for the first time. Yet to show much and still unproven on turf."
298424,183320,8,2.0,122101,IRE,The Pug,5,9-9,61.2,,49.0,4172,Finley Marsh,4151,A Wintle,,,,"Ran to form when third, beaten 3l, in an 11f handicap at Windsor last time. Effective from 10-11f on a sound surface and remains competitive off the current mark, but a long losing run is a concern."
298425,183320,9,10.0,154385,GB,Hampson Green,3,9-2,58.05,,46.0,5191,Saffie Osborne,2301,D & C Kubler,,,,Stopped quickly when stepped up in grade and finished down the field in a 7f novice at Leicester most recently. Yet to build on debut effort.
298426,183320,10,8.0,141539,FR,Pacific Man,3,9-2,58.05,pt,47.0,3860,Pierre-Louis Jamin,4133,O Greenall & J Guerriero,,,,"Ran to form when appreciating the longer trip, finishing fourth and beaten 3l in a handicap at Leicester last time. Effective at 9-10f on good ground, though his official mark looks stiff."
298427,183320,11,1.0,145320,IRE,Ta Craic Ann,3,9-2,58.05,,50.0,5548,Joe Leavy,111,J S Moore,,,,Outpaced and beaten early when down the field in a 12f handicap at Bath most recently. Yet to prove he has trained on.
298428,183321,1,4.0,133600,IRE,Moab,5,10-0,63.5,,60.0,5641,Elizabeth Gale,562,Miss H C Knight,2nd,7/2,4.5,"Needed the run and was not knocked about after meeting trouble, beaten 6l in a handicap at Newbury last time. Had been in good form beforehand; effective from 10f to 12f on a sound surface, with a good mark on maiden and jumps form."
298429,183321,2,5.0,102345,FR,Sea Of Charm,7,9-13,63.0,b,59.0,3959,William Cox,4158,G Nicholls,,,,"Back on her last winning mark, returned to form on quicker ground with a well-judged ride, landing a handicap by a neck off 55 over 11f at Windsor last time. Effective from 10f to 12f on a sound surface; generally consistent, though her revised mark will demand more."
298430,183321,4,3.0,153969,GB,Rogue Justice,3,9-4,58.95,p,59.0,22,L Morris,3791,Jack Jones,,,,Improved but given too much to do when 12l third in a maiden over 10f at Yarmouth on his final qualifying run. Cheekpieces applied for the first time; usually held up; significant jockey booking. Effective at 10f on good to firm or good to soft and may get 12f; opening mark looks fair.
298431,183321,5,2.0,132832,IRE,Saachi,4,9-1,57.6,v,47.0,5191,Saffie Osborne,45,Ian Williams,1st,15/8,2.88,"Ran to current form but was outstayed late when stepped up in trip, beaten 1/2l off 47 at Leicester last time. Visor applied for the first time; significant jockey booking; off a short break. Acts on good, firm, and soft ground; an inconsistent maiden."
298432,183321,6,6.0,145757,IRE,Beaune,3,8-5,53.05,,46.0,5291,Jay Mackay,528,B J Llewellyn,,15/2,8.5,"Had too much to do after blowing the start, beaten 3l in a classified race over 8f here last time. Usually consistent and suited by 10f; acts on good to soft. A consistent but exposed maiden."
298433,183322,1,6.0,134735,FR,Risen Again,4,11-2,70.75,h,70.0,6770,Mr Paul Hainey,3582,Alice Haynes,,,,Made too much use of well beaten in a handicap over 10f at Chester latest; conditions suit; must bounce back after poor run but in the mix on pick of recent form
298434,183322,2,7.0,100755,GB,Uncle Dick,7,11-2,70.75,v,70.0,7025,Miss Khadijah Mellah,308,Eve Johnson Houghton,,,,Game when landing a handicap by a neck off 66 over 8f at Brighton last time; yet to win beyond 1m but some fair 1m2f form; back to form and bang in the mix if building on latest
298435,183322,3,10.0,109700,IRE,Marsh Benham,6,11-0,69.85,p,68.0,6794,Mr Henry Callan,108,George Baker,,,,"Appeared not to stay down the field in a handicap at Lingfield most recent; in good form prior; trip a concern, 1m suits best and stamina to prove beyond; on last winning mark, chance"
298436,183322,4,1.0,96085,GB,Platinum Prince,8,10-13,69.35,b,67.0,5860,Mr Jude Fernandes,4347,G & J Moore,,,,"Back to best in first-time blinkers scored by 1 1/2l off 64 here penultimate start; seventh beaten 4l off 64 last time; effective at trip/on good ground; can bounce back, player"
298437,183322,5,8.0,113742,IRE,Alazwar,7,10-12,68.9,b,66.0,4462,Miss Brodie Hampson,4143,A Watson,1st,10/1,11.0,"Scored by 1 1/4l off 65 over 10f at Newbury in June; fourth beaten 7 1/4l off 67 last time; enjoys making it; conditions suit; lost way since win in mid-June, bit to prove"
298438,183322,6,2.0,144680,GB,Huntly Lodge,4,10-8,67.1,h,62.0,591,Mr D H Dunsdon,202,Mrs A J Perrett,,,,Going probably on fast side well beaten in a maiden over 8f at Windsor latest; off a short-break; may appreciate step up in trip; on fair opening mark on balance of novice/maiden form
298439,183322,7,5.0,102649,GB,Pride Of Nepal,7,10-8,67.1,bt,62.0,2754,Miss S L Bowen,135,A W Carroll,,,,"Won this last year; slowly away beaten 2l off 62 over 10f at Beverley last time; conditions suit; pretty reliable generally; knocking on door often this term, player again"
298440,183322,8,9.0,131384,GB,Joycean Way,4,10-5,65.75,b,59.0,6274,Mr Ben Pollard,4347,G & J Moore,,,,"Ran to form beaten a short-head off 59 over 7f at Leicester last time; effective 1m but bit below par all three goes at 1m2f; has found level off sliding mark, big player if stamina holds"
298441,183322,9,4.0,128773,IRE,Never Dream,4,9-12,62.55,,52.0,6244,Miss Alice Tregoning,896,M P Tregoning,,,,Slowly away fourth beaten 4 1/2l in a handicap over 7f at Salisbury latest; trip a concern; likes it here (winner over 7f); ground fine; much better latest but still bit below what's required
298442,183322,10,3.0,102348,IRE,Amal,7,9-11,62.1,,51.0,4844,Miss Imogen Mathias,154,J R Jenkins,2nd,66/1,67.0,"Beaten 7l in a classified race over 8f at Lingfield last time off a layoff; off a short-break; rarely gets remotely competitive, some hope on season opener latest but needs plenty more"
298443,183323,1,7.0,155555,IRE,Coconut Cove,2,9-2,58.05,,,221,J Mitchell,2048,R Varian,,,,"Runner-up beaten a short-head in a maiden at Yarmouth only start; conditions suit; went very close on debut and sets the bar, major player"
298444,183323,2,1.0,154000,IRE,Country Artiste,2,9-2,58.05,,76.0,3304,Callum Shepherd,230,C G Cox,,,,"Looked to want further beaten 5l on nursery h'cap debut over 5f at Sandown last time; in good form prior; conditions suit; can do better back at 6f, big player"
298445,183323,3,8.0,155114,GB,Denbys Dream,2,9-2,58.05,,,4694,Rhys Clutterbuck,4384,P Attwater,,,,"Below par beaten 7l in a novice at Windsor last time; trainer in form; conditions suit;showed fair promise on debut but failed to build on it last time, needs significant step forward"
298446,183323,4,9.0,155557,IRE,Enha,2,9-2,58.05,,,4240,Jason Watson,256,A M Balding,1st,9/2,5.5,"2l fourth in a maiden at Yarmouth first-time out; top course trainer; conditions suit; showed good promise on debut and should build on it, threat"
298447,183323,5,3.0,155933,IRE,Mortubo,2,9-2,58.05,,,2799,Paddy Bradley,4347,G & J Moore,2nd,33/1,34.0,"29 Mar; 17,000 euros Pinatubo filly; fourth foal; half-sister to Whitegate, useful at 5f; yard not known for their juveniles (0 form 7 this term); big ask on debut, market can guide"
298448,183323,6,2.0,155126,GB,Passing Thought,2,9-2,58.05,,,215,George Downing,891,E Walker,,,,Wide trip beaten 9l in a novice at Windsor on debut; conditions ok; didn't show much on debut and will need big leap forward
298449,183323,7,5.0,155790,GB,Pimentel,2,9-2,58.05,,,6490,Jack Doughty,896,M P Tregoning,,50/1,51.0,"Well beaten in a novice at Newbury only start; failed to beat a rival on debut and left alone in the market, needs huge leap forward"
298450,183323,8,6.0,155938,GB,Planet Seeker,2,9-2,58.05,,,3632,Edward Greatrex,152,R M Beckett,,,,"29 Mar; Blue Point filly; third foal; half-sister to Storm Star, smart at 8f; dam high-class at 7f, including at two; top trainer; well-bred and could go well on debut, market best guide"
298451,183323,9,4.0,155939,IRE,Polka Blue,2,9-2,58.05,,,1414,Charles Bishop,2210,C Hills,,,,"29 Apr; 34,000 euros Space Blues filly; seventh foal; half-sister to Citronnade, very smart at 13f; dam useful at 10f; yard yet to have winner with 2yo's this term; tough task on debut"
298452,183324,1,2.0,114279,GB,Atlantis Blue,6,9-12,62.55,h,75.0,4240,Jason Watson,108,George Baker,,,,Scored by 2 1/4l off 69 over 9f at Lingfield penultimate start; second beaten a length off 74 last time; significant jockey booking; conditions suit well; big player
298453,183324,2,1.0,135923,GB,Patsy Snugfit,3,9-9,61.2,p,78.0,221,J Mitchell,308,Eve Johnson Houghton,,,,Scored by a nose off 75 over 10f at Salisbury penultimate start; sixth beaten 22l off 78 last time; top jockey back on board; effective at 1m but best over further; player if bouncing back
298454,183324,3,4.0,142419,GB,Bint Mohaather,3,9-8,60.75,,77.0,1414,Charles Bishop,4209,J Channon,,,,Too much to do under penalty 1 1/2l third in a novice over 6f at Doncaster most recent run; stamina to prove at 1m but could suit and well worth a try; big player if stamina holds
298455,183324,4,5.0,151867,IRE,Noche Clasica,3,9-7,60.3,,76.0,3304,Callum Shepherd,3834,James Owen,,,,Won a maiden at Chester over 7f by 3/4l last time; steadily progressive; off a short-break; stamina to prove at 1m having faded over it on debut; on fair mark if appreciating step up
298456,183324,5,3.0,146792,IRE,Champagne On Ice,3,9-3,58.5,t,72.0,215,George Downing,891,E Walker,,,,Ran to form a length third in a maiden at Southwell most recent run; trainer in form; returning from a break; 1m suits; should go well from workable opening mark if as effective on turf
298457,183325,1,1.0,148575,IRE,Cecilia Star,3,9-9,61.2,,78.0,3304,Callum Shepherd,318,M L W Bell,,,,"Outclassed upped to Listed level in Childwickbury Stud Fillies' Trial Stakes (Listed) over 10f at Newbury most recent; should stay; can do better eased back in grade, in the mix off a break"
298458,183325,2,5.0,147529,GB,Camtank,3,9-7,60.3,,76.0,4464,A J Farragher,147,W J Haggas,1st,5/2,3.5,"Did not get a clear run beaten 5l in a novice over 10f at Nottingham last time; trainer in form; trip should suit; can do better, player off this opening mark based on maiden win"
298459,183325,3,3.0,146157,GB,Sound Janet,3,9-6,59.85,,75.0,221,J Mitchell,2048,R Varian,,,,Ground probably too testing beaten 5 1/4l in a maiden over 10f at Windsor last time; trip should suit; showed promise on debut but failed to build on it last twice; on stiff looking mark
298460,183325,4,2.0,144495,GB,Lieutenant Lily,3,9-3,58.5,vt,72.0,3632,Edward Greatrex,4154,T Ward,,,,Yard won this last year; below par beaten 10l in a handicap at Newbury last time; in good form prior; visor first time; off a short-break; stamina to prove; bit to prove but not out of it
298461,183325,5,6.0,142273,FR,Eternal Blessing,3,9-1,57.6,,70.0,4240,Jason Watson,2739,D Menuisier,,,,"Ran to form beaten 4l off 70 over 10f at Sandown last time on handicap debut; significant jockey booking; worth a try at trip (placed over 1m3f); on workable mark, major player"
298462,183325,6,4.0,147091,GB,Sibling Rivelry,3,8-7,53.95,,62.0,6691,Jack Dace,244,D M Simcock,,,,"Yard has won 2 of last 10 runnings of race; won a maiden at Southwell over 8f by a short-head last time; steps up from 1m, may suit; chance if staying but on stiff looking opening mark"
298463,183326,1,6.0,130385,IRE,The Coffee Pod,4,10-0,63.5,,71.0,3622,Thomas Greatrex,223,R Hannon,,,,"Ran to form beaten 1 1/4l off 72 at Windsor last time; off a short-break; conditions suit; bounced back to something close to best last time, given another chance by assessor, player"
298464,183326,2,5.0,103271,GB,On Edge,7,9-13,63.0,v,70.0,1432,Gina Mangan,2148,C Mason,,,,"Raced freely beaten 3l off 70 over 6f at Ffos Las last time; visor first time; conditions suit; mostly competitive over 6f since win over 5f last summer; goes well on undulating track, player"
298465,183326,3,4.0,108571,IRE,So Smart,6,9-12,62.55,pt,69.0,6825,Ashley Lewis,4229,G Harris,,,,Returned to form down in grade scored by 1 1/2l off 64 at Ffos Las penultimate start; ninth beaten 8l off 69 last time; enjoys making it; conditions suit; in the mix if giving best
298466,183326,4,3.0,136121,GB,Rajeteriat,3,9-11,62.1,,70.0,1414,Charles Bishop,132,C Gordon,2nd,16/1,17.0,"Below par beaten 7 1/4l in a handicap at Lingfield last time; conditions suit; disappointing latest but not beaten too far over CD prior, could figure on pick of form"
298467,183326,5,1.0,127360,IRE,Smooth Silesie,4,9-11,62.1,b,68.0,221,J Mitchell,4124,L Williamson,,,,"Weak in the market when landing a handicap by 2l off 61 at Yarmouth last time; top jockey back on board; best effort of 2025 latest and rated tad higher last term, player again"
298468,183326,6,2.0,128858,GB,Merrimack,4,9-8,60.75,vt,65.0,3304,Callum Shepherd,282,S C Williams,1st,3/1,4.0,"Landed a handicap by a neck off 64 at Windsor last time; enjoys making it; mostly consistent, prone to odd blow-out; conditions suit; big player seeking double off just one pound higher"
298469,183326,7,7.0,141061,IRE,Virtue Temperance,3,9-2,58.05,,61.0,6691,Jack Dace,202,Mrs A J Perrett,,,,Below par beaten 9l in a handicap at Brighton last time off a break; should come on a bit for latest (this the 2nd run after wind op); on a workable mark but bit to prove
298470,183327,1,8.0,117414,FR,Honour Your Dreams,5,10-0,63.5,,74.0,2799,Paddy Bradley,126,M J Attwater,,,,Back to best scored by 1/2l off 73 over 5f at Lingfield three starts back; tenth beaten 11l off 75 last time; conditions suit; bit to prove after two poor spins
298471,183327,2,11.0,127631,GB,Kiss And Run,4,9-12,62.55,,72.0,6140,Ryan Kavanagh,4009,Rachel & Bridger,,,,Ran to form beaten 2l off 70 at Newbury last time; enjoys making it; off a short-break; course winner; stays 6f; bang in the mix
298472,183327,3,6.0,74801,IRE,Spanish Star,10,9-10,61.65,,70.0,1414,Charles Bishop,329,P R Chamings,,,,"Scored by a length off 68 at Newbury three starts back; sixth beaten 4 1/4l off 71 last time; five time CD winner from 12 runs; needs step forward but has optimum conditions, player"
298473,183327,4,2.0,138593,GB,Heaven Knows,3,9-9,61.2,,72.0,3304,Callum Shepherd,710,Rae Guest,,,,"Outclassed fourth beaten 7 1/4l in a handicap at Windsor latest; usually held up; suited by 6f and a sound surface; usually very consistent; should do much better back to class 5, player"
298474,183327,5,7.0,141522,GB,Hunky Dory,3,9-9,61.2,,72.0,215,George Downing,891,E Walker,,,,"Ran to form beaten 3/4l off 70 over 7f at Doncaster last time; trainer in form; interesting trying 6f for first time given mostly races in vanguard at 7f, serious player"
298475,183327,6,1.0,119152,GB,Danger Alert,5,9-9,61.2,v,69.0,4240,Jason Watson,108,George Baker,,,,"Appeared not to stay well beaten in a handicap over 7f at Epsom latest; significant jockey booking; best with cut; 6f fine; noty found elvel off sliding mark, bit to prove"
298476,183327,7,5.0,126372,IRE,Dapperling,4,9-9,61.2,,69.0,5802,Tyrese Cameron,223,R Hannon,1st,14/1,15.0,"Back to form scored by 2l off 66 here in June; sixth beaten 5l off 71 last time; usually held up; CD winner; best with cut; lost way of late, bit to prove"
298477,183327,8,9.0,142558,GB,Iconic Times,3,9-6,59.85,,69.0,6691,Jack Dace,4153,H Main,,,,Scored by 2l off 70 at Kempton three starts back; sixth beaten 6 1/4l off 75 last time; turf mark bit lower than AW but all four turf runs very poor; threat if showing can handle turf
298478,183327,9,10.0,128821,IRE,Serenity Dream,4,9-6,59.85,,66.0,6490,Jack Doughty,135,A W Carroll,,,,Ran to form beaten 1/2l off 65 over 7f at Lingfield last time; first try at 6f; pretty consistent; in good form and could figure if showing pace for this drop down to 6f
298479,183327,10,3.0,142146,GB,Rory Rocket,3,9-6,59.85,,69.0,222,T P Queally,4347,G & J Moore,,,,Weak in the market comfortably held on handicap debut at Chepstow last time; conditions suit; needs to bounce back from dismal effort last time but chance on novice form
298480,183327,11,4.0,117585,IRE,Lahina Bay,5,8-12,56.2,,58.0,4694,Rhys Clutterbuck,4009,Rachel & Bridger,,,,Returned to form back in a handicap scored by 2 1/4l off 50 at Windsor penultimate start; third beaten a neck off 57 last time; conditions suit; bang in the mix again
298481,183328,1,7.0,155605,IRE,August George,2,9-7,60.3,,,6369,S Donohoe,4164,I Furtado,,,,"Gelded before debut; slowly away when finishing runner-up, only beaten a neck in a 7f maiden at Newmarket (July) on his only start; a threat in this contest."
298482,183328,2,3.0,155198,GB,Fans Favourite,2,9-7,60.3,,,931,P Mulrennan,4161,H Palmer,,,,"Slowly away when a well beaten ninth of eleven in a 7f maiden at Sandown on debut; top course jockey booked, but plenty more required in this race."
298483,183328,3,8.0,155930,IRE,Mehsun,2,9-7,60.3,,,17,A Mullen,948,I Jardine,2nd,22/1,23.0,"6 Feb; 40,000 euros Mehmas colt; dam useful at 10f; wide draw to deal with in this on debut; dam related to multiple 1m4f plus winners; will probably need further in time; might need the experience here"
298484,183328,4,4.0,155934,IRE,Mr Colonel,2,9-7,60.3,,,3548,O J Orr,6,R A Fahey,,,,24 Mar; Frankel colt; half-brother to very smart 10 furlong horse High Stock; yard does well with their youngsters around these parts; bred to appreciate this trip; could go well on debut
298485,183328,5,1.0,155538,IRE,Rogue Icon,2,9-7,60.3,,,5203,Mark Winn,1642,D O'Meara,,,,Gelded before first run; beaten 6l in a 7f maiden at Catterick on debut; yard in good form at present; needs to show more after that initial effort.
298486,183328,6,6.0,155287,IRE,Saxophonist,2,9-7,60.3,,,122,D Nolan,1642,D O'Meara,1st,16/5,4.2,Third and beaten 3 1/4l in a 7f maiden at Newcastle on debut; yard in good form; steps up in trip here with experience behind him and could build on that first effort.
298487,183328,7,2.0,155628,GB,The Floors Munky,2,9-7,60.3,,,136,Greg Fairley,948,I Jardine,,,,2 Feb; Gustav Klimt gelding; dam unraced sister to 2yo winner One Last Look; dam half-sister to multiple winners; might need this debut run under his belt
298488,183328,8,5.0,153977,IRE,What A Racket,2,9-2,58.05,,,2916,Rowan Scott,4127,K Scott,,,,"Once-raced maiden; needed the experience when a well beaten fifth of six in a 7f novice at Yarmouth on debut; with the yard out of form, she needs to show a lot more."
298489,183329,1,4.0,149886,IRE,Pomme Pomme,3,9-9,61.2,,80.0,5208,Rose Dawes,4209,J Channon,,,,Won four in a row during May/June; bit in hand when scoring by 2 1/4l over 10f at Haydock three starts back; since came fifth and beaten by 8 1/2l last time; enjoys making it; a threat here
298490,183329,2,2.0,152089,IRE,Seren Star,3,9-8,60.75,,79.0,6780,Warren Fentiman,147,W J Haggas,,,,Just had the three career runs; weak in the market when winning a maiden at Chepstow over 8f by 1 1/4l last time; trainer in good form; handicap debut; a contender in this race
298491,183329,3,3.0,137719,GB,Hackney Diamonds,3,8-10,55.3,b,67.0,886,S De Sousa,45,Ian Williams,,,,Below par when beaten by 9 1/2l in a handicap over 12f at Ascot last time; in good form prior; blinkers fitted for the first time; significant jockey booking; can put in a better display in this sort of race
298492,183329,4,1.0,153640,GB,Storm On Jura,3,8-4,52.6,,61.0,4423,Amie Waugh,502,J S Goldie,,,,Ran to form when coming fourth and beaten by 11l in a novice over 8f here latest; top course trainer; yet to win in three career starts; handicap debut; might be up against it in this
298493,183330,1,1.0,147027,IRE,Si Solus,4,9-12,62.55,t,,5521,Kaiya Fraser,3,Miss Gay Kelleway,,,,Twice raced maiden; second and beaten by 3l in a maiden at Southwell latest; also second on debut for previous trainer; tongue-tie fitted for the first time; sure to go well here
298494,183330,2,4.0,155718,IRE,Spirit Of Nature,3,9-4,58.95,,,6659,Lauren Young,502,J S Goldie,,,,Gelded before making debut; in need of the experience when coming third and beaten by 12l in a maiden over 8f here debut; top course trainer; second run after wind op; all to do realistically
